comp_id,smiles
CHEMBL1256529,N=C(N)NCCC[C@H](NC(=O)[C@H]1CSSC[C@@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c2ccc(F)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)NCCCCCCN2CCC(NC(=O)C(=O)Nc3ccc(Cl)cc3)CC2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N1)C(N)=O
CHEMBL1256530,N=C(N)NCCC[C@H](NC(=O)[C@H]1CSSC[C@@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c2ccc(F)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)NCCCCCCCCN2CCC(NC(=O)C(=O)Nc3ccc(Cl)cc3)CC2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N1)C(N)=O
CHEMBL1256583,Cl.N=C(N)NCCC[C@H](NC(=O)[C@H]1CSSC[C@@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c2ccc(F)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)NCCCCCCCCN2CCC(NC(=O)C(=O)Nc3ccc(Cl)cc3)CC2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N1)C(N)=O
CHEMBL126657,COc1cc(/C=C/C(=O)c2ccc(Cl)cc2)ccc1O
CHEMBL1381819,CSc1nnc(-c2ccc(C(F)(F)F)nc2C)o1
CHEMBL1644070,NCc1cc(F)ccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644071,NCc1cc(C(F)(F)F)ccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1644072,COc1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c(CN)c1
CHEMBL1644073,NCc1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c(CN)c1
CHEMBL1644074,NCc1cc(CO)ccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
